filename,title,year,certainty
104184862.txt,"Elegy in memory of that valient champion, Sir Robert Grierson, late laird of Lag, or, The Prince of Darkness - L.C.2822(13)",1823,
104184863.txt,"Prophecies of Thomas the Rhymer, the ancient Scotch prophet - L.C.2822(14)",1810,
104184864.txt,History of Sindbad the sailor - L.C.2822(15),1824,
104184865.txt,Life and prophecies of Mr. Alexander Peden - L.C.2822(2),1810,
104184866.txt,Entertaining history of the early years of General Bonaparte - L.C.2822(3),1810,
104184867.txt,"Remarkable history of the miser of Berkshire: John Elwes, Esq. - L.C.2822(4)",1810,
104184868.txt,"Royal riddle book, for the trial of dull wits - L.C.2822(5)",1811,
104184869.txt,"Merry life & mad exploits of Capt. James Hynd, the great robber of England - L.C.2822(6)",1811,
104184870.txt,Entertaining life & death of the amiable Lady Jane Gray - L.C.2822(7),1812,
104184871.txt,Life and exploits of Rob Roy M'Gregor - L.C.2822(8),1824,
104184872.txt,"Douglas & Piercy, or, The hunting at Chevychase - L.C.2822(9)",1815,
104184873.txt,New pease strae - L.C.2823(1),1810,
104184874.txt,"Farmer's fortunate marriage, or, The golden glove - L.C.2823(10)",1814,
104184875.txt,New way of Oxter my laddie - L.C.2823(11),1814,
104184876.txt,"Young lasses' song, or, What wou'd a young lassie do wi' an auld man - L.C.2823(12)",1810,
104184877.txt,Scotch medley - L.C.2823(13),1810,
104184878.txt,John Highlandman's remarks on Glasgow - L.C.2823(14),1814,
104184879.txt,"Downfall of Paris, and Bonaparte dethron'd - L.C.2823(15)",1814,
104184880.txt,Jolly weaver's garland - L.C.2823(16),1815,
104184881.txt,Virgin martyr - L.C.2823(17),1815,
104184882.txt,"Hearts of oak, or, The jolly tars of Great Britain - L.C.2823(18)",1815,
104184883.txt,Tragedy of Sir James the Rose - L.C.2823(19),1815,
104184884.txt,Six excellent new songs - L.C.2823(2),1810,
104184885.txt,Jolly miller of Dee - L.C.2823(20),1815,
104184886.txt,Bony Jean of Aberdeen - L.C.2823(21),1815,
104184887.txt,Four excellent new songs - L.C.2823(22),1810,
104184888.txt,"Adventures of John o'Badenyon, in pursuit of happiness - L.C.2823(23)",1810,
104184889.txt,Astonishing Abraham Newland - L.C.2823(24),1810,
104184890.txt,Robin's cure for a bad wife - L.C.2823(25),1810,
104184891.txt,Jenny of Aberdeen - L.C.2823(26),1810,
104184892.txt,Captain Barnwell - L.C.2823(27),1815,
104184893.txt,"New song, called The unco bit want, with the anwer - L.C.2823(28)",1814,
104184894.txt,Six favorite songs - L.C.2823(29),1810,
104184895.txt,Seven excellent new songs - L.C.2823(3),1810,
104184896.txt,"Excellent new song, called, The smugglers and the gaugers - L.C.2823(30)",1810,
104184897.txt,Distracted sailor - L.C.2823(31),1810,
104184898.txt,Bony lad - L.C.2823(32),1810,
104184899.txt,"Golden bull, or, Crafty princess - L.C.2823(33)",1815,
104184900.txt,"Lord Ruthven's daughter, an ancient ballad - L.C.2823(34)",1810,
104184901.txt,Bonny Barbara Allan - L.C.2823(35),1815,
104184902.txt,Sweet Hellen of the Dee - L.C.2823(36),1810,
104184903.txt,Maid in Bedlam - L.C.2823(37),1815,
104184904.txt,Banks of the Nile - L.C.2823(38),1815,
104184905.txt,Bonny Highland lad - L.C.2823(39),1815,
104184906.txt,"Emperor's wedding, or, Bonaparte's 2d marriage - L.C.2823(4)",1810,
104184907.txt,"Susan Py, or, Young Bichen's garland - L.C.2823(40)",1815,
104184908.txt,"Famous battle fought on the Sherriff Muir, on the 13th day of November, 1715 - L.C.2823(41)",1815,
104184909.txt,"Proud dutchess, or, Death and the lady - L.C.2823(42)",1816,
104184910.txt,"Chapter of kings, a new royal song - L.C.2823(43)",1810,
104184911.txt,Barking barber - L.C.2823(44),1810,
104184912.txt,Three excellent old songs - L.C.2823(45),1816,
104184913.txt,Wicked wife - L.C.2823(46),1814,
104184914.txt,Four excellent new songs - L.C.2823(47),1810,
104184915.txt,Maid of Carronshore - L.C.2823(48),1810,
104184916.txt,Three excellent new songs - L.C.2823(49),1816,
104184917.txt,Sally Gray - L.C.2823(5),1810,
104184918.txt,Bonny lass of Calder Braes - L.C.2823(50),1820,
104184919.txt,Jovial rantin' Highlandman - L.C.2823(51),1810,
104184920.txt,Four excellent new songs - L.C.2823(52),1821,
104184921.txt,Five old songs - L.C.2823(53),1810,
104184922.txt,"Fortunate sailor, and the farmer's daughter, in the county of Kent - L.C.2823(54)",1821,
104184923.txt,New song called The Kebbuckstone wedding - L.C.2823(55),1821,
104184924.txt,Sailor's courtship - L.C.2823(56),1822,
104184925.txt,King George IV. his welcome to Scotland - L.C.2823(57),1822,
104184926.txt,Bonny bell - L.C.2823(58),1823,
104184927.txt,Sailor's tragedy - L.C.2823(59),1823,
104184928.txt,Five excellent love songs - L.C.2823(6),1811,
104184929.txt,Bonny bell - L.C.2823(60),1823,
104184930.txt,Four excelent songs - L.C.2823(61),1826,
104184931.txt,Athole Highlanders - L.C.2823(62),1810,
104184932.txt,Wandering shepherdess of Exeter - L.C.2823(7),1813,
104184934.txt,Drunken tar of Sunderland - L.C.2823(8),1810,
104184935.txt,Burns' farewel to Ayrshire - L.C.2823(9),1810,
104184936.txt,Jovial songster - L.C.2824(1),1810,
104184937.txt,Companion of mirth - L.C.2824(10),1810,
104184938.txt,"Allan the freebooter, or, The witch of Glenross - L.C.2824(11)",1810,
104184939.txt,Life of Richard Turpin - L.C.2824(12),1810,
104184940.txt,Tragical history of George Barnwell - L.C.2824(13),1810,
104184941.txt,"Hocus pocus, or, The whole art of legerdemain in perfection - L.C.2824(14)",1810,
104184942.txt,Christ a complete saviour - L.C.2824(15),1823,
104184943.txt,"Life of David Haggart who was executed at Edinburgh, 18th July, 1821 for the murder of the Dumfries jailor - L.C.2824(16)",1821,
104184944.txt,"Lag's elegy, or, The prince of darkness - L.C.2824(2)",1814,
104184945.txt,Life and exploits of Rob Roy M'Gregor - L.C.2824(3),1810,
104184946.txt,Celebrated history of the famous Robin Hood - L.C.2824(4),1810,
104184947.txt,Musical garland - L.C.2824(5),1810,
104184948.txt,"Spaewife, or, Universal fortune-teller - L.C.2824(6)",1810,
104184949.txt,Goldfinch - L.C.2824(7),1810,
104184950.txt,Pleasant art of money-catching - L.C.2824(8),1810,
104184951.txt,"History of the Cathedral, or High Church of Glasgow - L.C.2824(9)",1825,
104184952.txt,Melodist - L.C.2825(1),1818,
104184953.txt,Black-bird - L.C.2825(2),1818,
104184954.txt,Linnet - L.C.2825(3),1819,
104184955.txt,Beauties of Burn's poems - L.C.2825(4),1819,
104184956.txt,Musical charmer - L.C.2825(5),1819,
104184957.txt,History of Sir William Wallace - L.C.2825(6),1820,
104184958.txt,Mavis - L.C.2825(7),1819,
104184959.txt,Adventures of Roderick Random - L.C.2825(8),1820,
104184960.txt,Fortunes and misfortunes of the famous Moll Flanders - L.C.2825.A(10),1788,
104184961.txt,Tom Thumb's royal riddle book - L.C.2825.A(11),1788,
104184962.txt,Prophecies of Thomas Rymer - L.C.2825.A(12),1794,
104184963.txt,History of Botany-Bay - L.C.2825.A(13),1798,
104184964.txt,"Christ on the cross, suffering for sinners, or, The sinner's redemption, sanctification, and exaltation, by the death of our Lord Jesus Christ - L.C.2825.A(2)",1784,
104184965.txt,Life and transactions of James Sharp - L.C.2825.A(4),1788,
104184966.txt,Lamb's marriage proclaimed - L.C.2825.A(5),1822,
104184967.txt,Some remarkable passages in the life of Mr. John Livingston - L.C.2825.A(6),1819,
104184968.txt,"Wedding-ring, fit for the finger, or, The salve of divinity on the sore of humanity - L.C.2825.A(7)",1820,
104184969.txt,Life and prophecies of Mr Donald Cargill - L.C.2825.A(8),1823,
104184970.txt,History of Jack and the giants - L.C.2825.A(9),1787,
104184971.txt,Harmony of the divine attributes displayed in the redemption and salvation of sinners by Jesus Christ - L.C.2825.A.(1),1783,
104184972.txt,Grave - L.C.2825.A.(3),1788,
104184973.txt,"Crafty princess, or, The golden bull - L.C.2826(1)",1809,
104184974.txt,Bonny Gilderoy - L.C.2826(10),1815,
104184975.txt,"Rock and the wee pickle tow, with The answer - L.C.2826(11)",1815,
104184976.txt,Webster of Brichen's mare - L.C.2826(12),1815,
104184977.txt,"Famous battle of Waterloo, fought on the 18th day of June, 1815 - L.C.2826(13)",1815,
104184978.txt,"Rock and the wee pickle tow, with The answer - L.C.2826(14)",1815,
104184979.txt,"Duke of Montrose's garland, or, I'll never love thee more - L.C.2826(15)",1815,
104184980.txt,"Pennyworth of wit, or, The deluded merchant, and his harlot - L.C.2826(16)",1815,
104184981.txt,Second downfall of Paris - L.C.2826(17),1815,
104184982.txt,Roving batchelor - L.C.2826(18),1816,
104184983.txt,Four excellent old songs - L.C.2826(19),1816,
104184984.txt,"Bride's burial, or, The affectionate lovers - L.C.2826(2)",1810,
104184985.txt,Three excellent songs - L.C.2826(20),1816,
104184986.txt,Lass of Glenshee - L.C.2826(21),1816,
104184987.txt,Polly privateer - L.C.2826(22),1816,
104184988.txt,"Watty's wedding, or, The old maiden's marriage - L.C.2826(23)",1817,
104184989.txt,True lover's garland - L.C.2826(24),1817,
104184990.txt,Young Bateman's ghost - L.C.2826(25),1817,
104184991.txt,Mary of Glenkilloch - L.C.2826(26),1817,
104184992.txt,Jamie's bad wife - L.C.2826(27),1817,
104184993.txt,Lass wi' the twa-handed wheel - L.C.2826(28),1817,
104184994.txt,Sawney and Donnel's exploits at Waterloo - L.C.2826(29),1817,
104184995.txt,Handsome jolly cobler and the lovely chambermaid - L.C.2826(3),1810,
104184996.txt,Three excellent new songs - L.C.2826(30),1817,
104184997.txt,True lover's garland - L.C.2826(31),1817,
104184998.txt,"St. Andrew's day, a favorite masonic song - L.C.2826(32)",1820,
104184999.txt,Bonny bridge of Findhorn - L.C.2826(33),1820,
104185000.txt,"Culloden-day, an old song - L.C.2826(34)",1821,
104185001.txt,Free-masons garland - L.C.2826(35),1821,
104185002.txt,"Culloden-day, an old song - L.C.2826(36)",1821,
104185003.txt,"Sir Neil, and Glengyle, the Highland chieftains - L.C.2826(37)",1822,
104185004.txt,"Favorite new song, called Saucy Tibby, wi' her fifty mark - L.C.2826(38)",1822,
104185005.txt,Death of Queen Caroline - L.C.2826(39),1822,
104185006.txt,Bonny lass of Banaphie - L.C.2826(4),1810,
104185007.txt,Bonny lass - L.C.2826(40),1822,
104185008.txt,Scots medley - L.C.2826(5),1813,
104185009.txt,Jolly miller of Drone - L.C.2826(6),1813,
104185010.txt,Mournful tragedy of Gill Morice - L.C.2826(7),1814,
104185011.txt,Charming young Nancy - L.C.2826(8),1814,
104185012.txt,"Roman nobleman, and cruel blackmoor in the wood - L.C.2826(9)",1814,
104185013.txt,Wonderful account of Mr. George Spearing - L.C.2827(1),1803,
104185014.txt,"Wedding-ring, fit for the finger, or, The salve of divinity on the sore of humanity - L.C.2827(10)",1820,
104185015.txt,"Dominie depos'd, or, Some reflections on his intrigue with a young lass - L.C.2827(11)",1810,
104185016.txt,History of the king and the cobler - L.C.2827(12),1820,
104185017.txt,Entertaining history of Sandford and Merton - L.C.2827(13),1810,
104185018.txt,New letter-writer - L.C.2827(14),1810,
104185019.txt,New history of Botanybay [sic] and Port Jackson - L.C.2827(15),1821,
104185020.txt,Tragical history of George Barnwell - L.C.2827(16),1821,
104185021.txt,Mirror of wit - L.C.2827(17),1821,
104185022.txt,Life and death of Jane Shore - L.C.2827(18),1810,uncertain
104185023.txt,Young Christian's first lesson-book - L.C.2827(19),1822,
104185024.txt,"London spy, or, The frauds of London described - L.C.2827(2)",1809,
104185025.txt,"History and adventures of that famous negro robber, 3 finger'd Jack - L.C.2827(20)",1822,
104185026.txt,Pleasures of matrimony - L.C.2827(21),1823,
104185027.txt,Remarkable predictions of Mr. Christopher Love - L.C.2827(22),1823,
104185028.txt,Hue & cry - L.C.2827(23),1823,
104185029.txt,Merry tales of the wise men of Gotham - L.C.2827(24),1823,
104185030.txt,"History of the four Kings of Canterbury, Colchester, Cornwall, & Cumberland - L.C.2827(25)",1823,
104185031.txt,Christ a complete saviour - L.C.2827(26),1823,
104185032.txt,"Laugh and be fat, the golden dreamer, or, Dreams interpreted - L.C.2827(27)",1827,
104185033.txt,Tragical history of George Barnwell - L.C.2827(28),1810,
104185034.txt,Plant of renown - L.C.2827(3),1813,
104185035.txt,"Dominie depos'd, or, Some reflections on his intrigue with a young lass and what happened thereupon - L.C.2827(4)",1814,
104185036.txt,Widow's son raised from death - L.C.2827(5),1815,
104185037.txt,Great importance of a suitable preparation for death - L.C.2827(6),1816,
104185038.txt,"Everlasting love of God, and Mary's good choice - L.C.2827(7)",1816,
104185039.txt,"Duniwhistle's testament, or, A diverting tale of three bonnets - L.C.2827(8)",1820,
104185040.txt,Thrummy Cap and the ghaist - L.C.2827(9),1820,
104185041.txt,Witty and entertaining exploits of George Buchanan - L.C.2828(1),1850,
104185042.txt,"Fun upon fun, or, Leper the tailor - L.C.2828(10)",1850,
104185043.txt,John Falkirk's cariches - L.C.2828(11),1850,
104185044.txt,Latin prayers not fit for Irishmen - L.C.2828(12),1840,
104185045.txt,Madrid shaver's adventures in the Spanish inquisition - L.C.2828(13),1840,
104185046.txt,Madrid shaver's adventures in the Spanish inquisition - L.C.2828(14),1840,
104185047.txt,Shepherdess of the Alps - L.C.2828(15),1840,
104185048.txt,Comical history of the king & the cobler - L.C.2828(16),1840,
104185049.txt,Speculative atheism - L.C.2828(17),1831,
104185050.txt,"Grinning made easy, or, Funny Dick's unrivalled collection of curious, comical, odd, droll, humorous, witty, whimsical, laughable, and eccentric jests, jokes, bulls, epigrams, &c. - L.C.2828(18)",1840,
104185051.txt,Tragical history of Jane Arnold - L.C.2828(19),1840,
104185052.txt,"Comical history of Simple John, and his twelve misfortunes - L.C.2828(2)",1850,
104185053.txt,"Irish assassin, or, The misfortunes of the family of O'Donnel - L.C.2828(20)",1840,
104185054.txt,Life and exploits of Rob Roy M'Gregor - L.C.2828(21),1840,
104185055.txt,"Scotland's skaith, or, The sad effects of drunkenness - L.C.2828(22)",1840,
104185056.txt,History of Thomas Hickathrift - L.C.2828(23),1840,
104185057.txt,"Life and death of Robin Hood, the renowned out-law - L.C.2828(24)",1840,
104185058.txt,Jack the giant-killer - L.C.2828(25),1840,
104185059.txt,Pleasing art of money-catching - L.C.2828(26),1840,
104185060.txt,Pleasing art of money-catching - L.C.2828(27),1840,
104185061.txt,Blind Allan - L.C.2828(28),1840,
104185062.txt,Laird of Cool's ghost - L.C.2828(29),1840,
104185063.txt,Whole proceedings of Jocky & Maggy's courtship - L.C.2828(3),1850,
104185064.txt,Wife of Beith - L.C.2828(30),1840,
104185065.txt,Wife of Beith - L.C.2828(31),1840,
104185066.txt,Collection of Scots proverbs - L.C.2828(32),1840,
104185067.txt,Budget of wit and drollery - L.C.2828(33),1840,
104185068.txt,Stories of Prince Lupin - L.C.2828(34),1840,
104185069.txt,Famous history of the two unfortunate lovers - L.C.2828(35),1840,
104185070.txt,Storys [sic] of The wild huntsman - L.C.2828(36),1840,
104185071.txt,Comical sayings of Paddy from Cork - L.C.2828(4),1850,
104185072.txt,"History of Buckhaven, or, The exploits of Wise Willie and Witty Eppie - L.C.2828(5)",1850,
104185073.txt,History of Buckhaven - L.C.2828(6),1850,
104185074.txt,"History of John Cheap, the Chapman - L.C.2828(7)",1850,
104185075.txt,Comical tricks of Lothian Tom - L.C.2828(8),1850,
104185076.txt,Comical tricks of Lothian Tom - L.C.2828(9),1850,
104185077.txt,Distracted sailor - L.C.2828.A(1),1815,
104185078.txt,Six excellant [sic] new songs - L.C.2828.A(10),1826,
104185079.txt,Seven popular songs - L.C.2828.A(11),1826,
104185080.txt,Six popular songs - L.C.2828.A(12),1830,
104185081.txt,Five popular songs - L.C.2828.A(13),1825,
104185082.txt,Six popular songs - L.C.2828.A(14),1825,
104185083.txt,Three excellent popular new songs - L.C.2828.A(15),1825,
104185084.txt,Collection of popular songs - L.C.2828.A(16),1825,
104185085.txt,Four popular songs - L.C.2828.A(17),1825,
104185086.txt,Love songs - L.C.2828.A(18),1825,
104185087.txt,Four popular songs - L.C.2828.A(19),1825,
104185088.txt,Two popular songs - L.C.2828.A(2),1825,
104185089.txt,Irish maniac - L.C.2828.A(20),1825,
104185090.txt,Four excellent new songs - L.C.2828.A(21),1780,uncertain
104185091.txt,New garland - L.C.2828.A(22),1780,
104185092.txt,Five excellent new songs - L.C.2828.A(23),1783,
104185093.txt,Six excellent new songs - L.C.2828.A(3),1825,
104185094.txt,"Sir Neil, and Glengyle - L.C.2828.A(4)",1825,
104185095.txt,Four excellent new songs - L.C.2828.A(5),1825,
104185096.txt,Six excellent new songs - L.C.2828.A(6),1825,
104185097.txt,Seven popular songs - L.C.2828.A(7),1825,
104185098.txt,Four popular songs - L.C.2828.A(8),1826,
104185099.txt,Six excellant [sic] new songs - L.C.2828.A(9),1826,
104185100.txt,Surprising and melancholy account of Richard Smith - L.C.2828.B(1),1785,
104185101.txt,Elocutionist - L.C.2828.B(10),1815,
104185102.txt,Faith's plea upon God's covenant - L.C.2828.B(11),1815,
104185103.txt,"Jerusalem's captivities lamented, or, The history of Jerusalem - L.C.2828.B(12)",1815,
104185104.txt,"Allan the freebooter, or, The witch of Glenross - L.C.2828.B(13)",1810,
104185105.txt,Life of Richard Turpin - L.C.2828.B(14),1810,
104185106.txt,"Honest debtor, or, The virtuous man struggling with, rising superior to, and overcoming misfortune - L.C.2828.B(15)",1810,
104185107.txt,Wife of Beith - L.C.2828.B(16),1810,
104185108.txt,Pleasant art of money-catching - L.C.2828.B(17),1810,
104185109.txt,Prayer book for families and private persons - L.C.2828.B(18),1850,
104185110.txt,Collection of Scotch proverbs - L.C.2828.B(19),1850,
104185111.txt,Worm Jacob threshing the mountains - L.C.2828.B(2),1803,
104185112.txt,Daniel O'Rourke's wonderful voyage to the moon - L.C.2828.B(20),1850,
104185113.txt,"Life of David Haggart who was executed at Edinburgh, 18th July, 1821 for the murder of the Dumfries jailor - L.C.2828.B(21)",1821,
104185114.txt,Toast-master's companion - L.C.2828.B(22),1832,
104185115.txt,"Best-match, or, The incomparable marriage between the Creator & the creature - L.C.2828.B(3)",1806,
104185116.txt,Sinner reclaimed - L.C.2828.B(4),1814,
104185117.txt,"Watty & Meg, or, The wife reform'd - L.C.2828.B(5)",1816,
104185118.txt,Vision of Almet - L.C.2828.B(6),1827,
104185119.txt,"Narrative of the Battles of Drumclog, and Bothwell Bridge - L.C.2828.B(7)",1828,
104185120.txt,Humorous exploits of Mally Dyver - L.C.2828.B(8),1802,
104185121.txt,Wonderful and surprising narrative of Capt. John Inglefield - L.C.2828.B(9),1785,
104185122.txt,Factor's garland - L.C.2829(1),1840,
104185123.txt,Two babes in the wood - L.C.2829(10),1840,
104185124.txt,Three old Scottish songs - L.C.2829(11),1840,
104185125.txt,"Watty and Meg, or, The wife reformed - L.C.2829(12)",1840,
104185126.txt,Four Scottish songs - L.C.2829(13),1840,
104185127.txt,Berkshire lady's garland - L.C.2829(14),1840,
104185128.txt,Duke of Gordon's three daughters - L.C.2829(15),1840,
104185129.txt,Four comic songs - L.C.2829(16),1820,
104185130.txt,Excellent old Scots song of the blaeberry courtship - L.C.2829(17),1840,
104185131.txt,Six favourite songs - L.C.2829(18),1820,
104185132.txt,Four popular comic songs - L.C.2829(19),1820,
104185133.txt,Hunting of Chevychase - L.C.2829(2),1840,
104185134.txt,Sailor's courtship - L.C.2829(20),1830,
104185135.txt,Old Scots tragical song of Sir James the Rose - L.C.2829(21),1830,
104185136.txt,Allan Tine o' Harrow - L.C.2829(22),1830,
104185137.txt,"Old Scots ballad of Andrew Lammie, or, Mill of Tifty's Annie - L.C.2829(23)",1830,
104185138.txt,"Wandering shepherdess, or, The betrayed damsel - L.C.2829(24)",1830,
104185139.txt,Six love songs - L.C.2829(25),1830,
104185140.txt,Five excellent songs - L.C.2829(26),1830,
104185141.txt,Five favourite songs - L.C.2829(27),1830,
104185142.txt,Two old songs - L.C.2829(28),1830,
104185143.txt,Old Scots tragical song of Sir James the Rose - L.C.2829(29),1830,
104185144.txt,Tragical history of Gill Morice - L.C.2829(3),1840,
104185145.txt,Jolly beggar - L.C.2829(30),1830,
104185146.txt,"Jemmy and Nancy of Yarmouth, or, The constant lovers - L.C.2829(4)",1840,
104185147.txt,Three old Scottish songs - L.C.2829(5),1830,
104185148.txt,Three old Scottish songs - L.C.2829(6),1840,
104185149.txt,Five excellent songs - L.C.2829(7),1820,
104185150.txt,Life and death of fair Rosamond - L.C.2829(8),1840,
104185151.txt,Four popular songs - L.C.2829(9),1840,
104185152.txt,Buchan sangster - L.C.2830(1),1871,
104185153.txt,Battle of Harlaw - L.C.2830(10),1870,
104185154.txt,"Herd's ghaist, or, The perjured laird's doom - L.C.2830(11)",1870,
104185155.txt,Duke of Gordon's three daughters - L.C.2830(12),1870,
104185156.txt,Duke of Gordon's three daughters - L.C.2830(13),1870,
104185157.txt,Duke of Gordon's three daughters - L.C.2830(14),1870,
104185158.txt,Murder of King Kenneth - L.C.2830(15),1870,
104185159.txt,Bennachie budget - L.C.2830(16),1879,
104185160.txt,Railway rhymer - L.C.2830(17),1879,
104185161.txt,"Old Scottish ballad of Andrew Lammie, or, Mill of Tifty's Annie - L.C.2830(18)",1870,
104185162.txt,"Old Scottish ballad of Andrew Lammie, or, Mill of Tifty's Annie - L.C.2830(19)",1870,
104185163.txt,"Ali Baba, or, The forty thieves - L.C.2852.A(3)",1850,
104185164.txt,Ghost of my uncle - L.C.2852.A(30),1840,
104185165.txt,"Aladdin, or, The wonderful lamp - L.C.2852.A(4)",1850,
104185166.txt,Comical tricks of Lothian Tom - L.C.2852.A(5),1840,
104185167.txt,Storys of Prince Lupin - L.C.2852.A(6),1840,
104185168.txt,Life and transactions of Mrs. Jane Shore - L.C.2852.A(7),1840,
104185169.txt,"History of Cinderella, or, The little glass slipper - L.C.2852.A(8)",1840,
104185170.txt,"History of Duncan Campbell, and his dog Oscar - L.C.2852.A(9)",1840,
104185171.txt,"Housekeeper and butler's guide, or, A system of cookery, and making of wines - L.C.2852.B(1)",1850,
104185172.txt,"History of Will and Jean, or, The sad effects of drunkenness - L.C.2852.B(10)",1850,
104185173.txt,New scrap-book - L.C.2852.B(11),1840,
104185174.txt,Scotch haggis - L.C.2852.B(12),1840,
104185175.txt,Stories of the two drovers and Countess of Exeter - L.C.2852.B(13),1850,
104185177.txt,Vermin killer - L.C.2852.B(14),1840,
104185178.txt,New pictorial Bible - L.C.2852.B(15),1850,
104185179.txt,Voyages and travels of Sindbad the sailor - L.C.2852.B(16),1850,
104185180.txt,History of Joseph & his brethren - L.C.2852.B(17),1840,
104185181.txt,"History of Abraham, Isaac, & Jacob - L.C.2852.B(18)",1840,
104185182.txt,"Pilgrim's progress, from this world to that which is to come - L.C.2852.B(19)",1840,
104185183.txt,Storys of the bewitched fiddler - L.C.2852.B(2),1840,
104185184.txt,Life and adventures of David Haggart - L.C.2852.B(20),1840,
104185185.txt,"History of Charles Jones, the footman - L.C.2852.B(21)",1840,
104185186.txt,Vocalist's song book - L.C.2852.B(22),1840,
104185187.txt,Vocalist's song book - L.C.2852.B(23),1840,
104185188.txt,Laird of Cool's ghost - L.C.2852.B(24),1840,
104185189.txt,Laird of Cool's ghost - L.C.2852.B(25),1840,
104185190.txt,Wife of Beith - L.C.2852.B(26),1840,
104185191.txt,Wife of Beith - L.C.2852.B(27),1840,
104185192.txt,History of Buchaven [sic] in Fifeshire - L.C.2852.B(28),1840,
104185193.txt,Daniel O'Rourke's wonderful voyage to the moon - L.C.2852.B(29),1840,
104185194.txt,Storys of The young robber - L.C.2852.B(3),1840,
104185195.txt,Sleeping beauty of the wood - L.C.2852.B(30),1840,
104185196.txt,"Story of the little white mouse, or, The overthrow of the tyrant king - L.C.2852.B(4)",1840,
104185197.txt,Storys of the three beggars - L.C.2852.B(5),1840,
104185198.txt,New scrap-book - L.C.2852.B(6),1840,
104185199.txt,"Fun upon fun, or, Leper, the tailor - L.C.2852.B(7)",1850,
104185200.txt,Prayer book for families and private persons - L.C.2852.B(8),1840,
104185201.txt,"History of Will and Jean, or, The sad effects of drunkenness - L.C.2852.B(9)",1850,
104185202.txt,Sleeping beauty of the wood - L.C.2852.C(1),1840,
104185203.txt,John Falkirk's cariches - L.C.2852.C(10),1840,
104185204.txt,Interesting history of Robert Burns - L.C.2852.C(11),1840,
104185205.txt,Life and meritorious transactions of John Knox - L.C.2852.C(12),1840,
104185206.txt,History of Jack the giant killer - L.C.2852.C(13),1840,
104185207.txt,Wedding-ring fit for the finger - L.C.2852.C(14),1840,
104185208.txt,History of the life & sufferings of the Rev. John Welch - L.C.2852.C(15),1840,
104185209.txt,History of the life & sufferings of the Rev. John Welch - L.C.2852.C(16),1840,
104185210.txt,"Famous history of the two unfortunate lovers, Hero & Leander - L.C.2852.C(17)",1840,
104185211.txt,"Madrid shaver's singular adventures, and wonderful escape from the Spanish Inquisition - L.C.2852.C(18)",1840,
104185212.txt,British humourist - L.C.2852.C(19),1840,
104185213.txt,Comical history of Simple John and his twelve misfortunes - L.C.2852.C(2),1840,
104185214.txt,Pleasing art of money-catching - L.C.2852.C(20),1840,
104185215.txt,Blind Allan - L.C.2852.C(21),1840,
104185216.txt,Elocutionist - L.C.2852.C(22),1840,
104185217.txt,Tragical history of Jane Arnold - L.C.2852.C(23),1840,
104185218.txt,Pathetic history of George Barnwell the London apprentice - L.C.2852.C(24),1840,
104185219.txt,Life and death of Robin Hood - L.C.2852.C(25),1840,
104185220.txt,"Grinning made easy, or, Funny Dick's unrivalled collection of jests, jokes, bulls, epigrams &c. - L.C.2852.C(26)",1840,
104185221.txt,History of Thomas Hickathrift - L.C.2852.C(27),1840,
104185222.txt,"Spaewife, or, Universal fortune-teller - L.C.2852.C(28)",1840,
104185223.txt,Comical history of Simple John and his twelve misfortunes - L.C.2852.C(3),1840,
104185224.txt,Excellent collection of the best Scotch proverbs - L.C.2852.C(4),1850,
104185225.txt,"Complete letter writer, or, Whole art of polite correspondence - L.C.2852.C(5)",1840,
104185226.txt,Comical history of the king and the cobbler - L.C.2852.C(6),1840,
104185227.txt,Comical history of the king and the cobbler - L.C.2852.C(7),1840,
104185228.txt,Village curate - L.C.2852.C(8),1840,
104185229.txt,Entertaining history of John Cheap the Chapman - L.C.2852.C(9),1840,
104185230.txt,"Irish assassin, or, The misfortunes of the family of O'Donnel - L.C.2852.D(1)",1840,
104185231.txt,Life and astonishing adventures of Peter Williamson - L.C.2852.D(10),1840,
104185232.txt,New hocus pocus - L.C.2852.D(11),1840,
104185233.txt,Visits from the world of spirits - L.C.2852.D(12),1840,
104185234.txt,Song book - L.C.2852.D(13),1840,
104185235.txt,Singers' companion - L.C.2852.D(14),1840,
104185236.txt,Singers' companion - L.C.2852.D(15),1840,
104185237.txt,Song book - L.C.2852.D(16),1840,
104185238.txt,"Wreath of song, or, Favourite airs for the lovers of music - L.C.2852.D(17)",1840,
104185239.txt,Song book - L.C.2852.D(18),1840,
104185240.txt,Cream of Scottish song - L.C.2852.D(19),1840,
104185241.txt,Buchan sangster - L.C.2830(2),1871,
104185242.txt,Excellent old Scottish song of The blaeberry courtship - L.C.2830(20),1870,
104185243.txt,"Old Scotch ballad of Andrew Lammie, or, Mill of Tifty's Annie - L.C.2830(21)",1870,
104185244.txt,Tragical history of Gill Morice - L.C.2830(22),1870,
104185245.txt,Tragical history of Gill Morice - L.C.2830(23),1870,
104185246.txt,Water warbler - L.C.2830(24),1870,
104185247.txt,Covenanters' coronal - L.C.2830(25),1881,
104185248.txt,Celebrated Scottish song of Tullochgorum - L.C.2830(26),1870,
104185249.txt,Bonnie lass o' Bennachie - L.C.2830(27),1885,
104185250.txt,Water lily - L.C.2830(28),1870,
104185251.txt,Water warbler - L.C.2830(29),1870,
